difficulty,question,options[0],options[1],options[2],options[3],answer,subject
하,뉴턴의 제1법칙은 무엇을 설명하는가?,중력,운동량 보존,관성,에너지 보존,관성,물리학
하,물체의 질량이 클수록 중력은 어떻게 변하는가?,증가한다,감소한다,변하지 않는다,반비례한다,증가한다,물리학
하,소리의 속도는 어떤 상태에서 가장 빠른가?,공기,물,진공,고체,고체,물리학
하,전구가 빛을 내는 이유는 무엇인가?,전자의 이동,광자의 방출,전류의 흐름,전자와 양자의 결합,전자의 이동,물리학
하,1초 동안 이동한 거리를 무엇이라 하는가?,속도,가속도,힘,질량,속도,물리학
하,온도가 상승하면 물질의 부피는 어떻게 변하는가?,증가한다,감소한다,변하지 않는다,온도에 따라 다르다,증가한다,물리학
하,고체에서 열이 전달되는 방식을 무엇이라 하는가?,전도,대류,복사,자극,전도,물리학
하,빛의 파장은 어떤 물리량에 해당하는가?,전압,시간,거리,진동수,진동수,물리학
하,두 물체가 서로 끌어당기는 힘을 무엇이라 하는가?,마찰력,전자기력,중력,핵력,중력,물리학
하,전류의 단위는 무엇인가?,볼트,암페어,옴,패럿,암페어,물리학
중,운동하는 물체의 질량과 속도에 의해 결정되는 물리량은 무엇인가?,힘,운동량,가속도,에너지,운동량,물리학
중,전기 회로에서 전류가 흐를 때의 저항은 무엇에 의해 결정되는가?,전압,전기 저항,전하량,온도,전기 저항,물리학
중,빛의 굴절은 무엇에 의해 발생하는가?,파장의 변화,매질의 변화,전자의 운동,광자의 충돌,매질의 변화,물리학
중,물체의 위치에너지를 나타내는 공식은 무엇인가?,mgh,1/2mv²,ma,v²/r,mgh,물리학
중,원자의 핵을 구성하는 입자는 무엇인가?,양성자와 중성자,전자와 양성자,전자와 중성자,광자와 양성자,양성자와 중성자,물리학
중,상대성 이론에 따르면 시간은 어떤 경우에 느리게 흐르는가?,빠르게 움직일 때,높은 온도일 때,낮은 온도일 때,정지 상태일 때,빠르게 움직일 때,물리학
중,전자의 궤도를 설명하는 양자 수는 몇 개인가?,1개,2개,3개,4개,4개,물리학
중,전류가 자기장을 생성하는 법칙은?,쿨롱 법칙,패러데이 법칙,암페어 법칙,헬름홀츠 법칙,암페어 법칙,물리학
중,우주에 있는 암흑 물질의 비율은 대략 얼마인가?,5%,23%,68%,85%,68%,물리학
중,소리의 높낮이는 무엇에 의해 결정되는가?,속도,진폭,주파수,매질,주파수,물리학
상,전자기파가 진공에서 전파될 때 전기장과 자기장은 서로 어떤 방향으로 존재하는가?,평행하다,수직하다,대칭이다,반대 방향이다,수직하다,물리학
상,열역학 제2법칙은 어떤 개념을 설명하는가?,에너지 보존,엔트로피 증가,열전달,질량 보존,엔트로피 증가,물리학
상,양자 터널링은 어떤 조건에서 발생하는가?,에너지가 충분히 낮을 때,에너지가 장벽을 넘지 못할 때,입자의 속도가 느릴 때,전자가 방출될 때,에너지가 장벽을 넘지 못할 때,물리학
상,일반 상대성 이론에서 빛이 휘는 현상은 무엇에 의해 설명되는가?,질량,가속도,시공간의 굴곡,전자기력,시공간의 굴곡,물리학
상,전자기파의 에너지는 무엇에 비례하는가?,파장,진동수,진폭,속도,진동수,물리학
상,슈뢰딩거 방정식은 무엇을 설명하는가?,입자의 위치,입자의 속도,파동 함수의 시간 진화,에너지 보존,파동 함수의 시간 진화,물리학
상,중력이 매우 강한 천체 주변에서 빛이 빠져나오지 못하는 경계는 무엇이라 하는가?,블랙홀,사건의 지평선,중성자별,적색 왜성,사건의 지평선,물리학
상,우주 배경 복사(CMB)는 무엇의 흔적인가?,빅뱅,은하의 형성,항성 진화,블랙홀 방사,빅뱅,물리학
상,양자 역학에서 관측 행위가 입자의 상태에 영향을 미친다는 개념은 무엇인가?,파동-입자 이중성,불확정성 원리,측정 문제,코펜하겐 해석,측정 문제,물리학
상,초전도 현상은 무엇에 의해 발생하는가?,전자의 양자 상태,자성의 상실,전자의 반발력,고온에서의 전자 이동,전자의 양자 상태,물리학
하,물의 끓는 점은 몇 도인가?,90도,100도,50도,120도,100도,과학
하,지구는 태양 주위를 몇 년에 한 번 공전하는가?,365일,1년,24시간,6개월,1년,과학
하,소리의 속도는 공기 중에서 얼마인가?,150 m/s,250 m/s,340 m/s,1000 m/s,340 m/s,과학
하,지구의 중심에 있는 물질은 무엇인가?,물,철과 니켈,공기,돌,철과 니켈,과학
하,태양계에서 가장 큰 행성은 무엇인가?,지구,화성,금성,목성,목성,과학
하,전류의 단위는 무엇인가?,볼트,암페어,와트,줄,암페어,과학
하,식물은 무엇을 통해 광합성을 하는가?,빛,엽록체,물,뿌리,엽록체,과학
하,사람의 몸에서 가장 큰 기관은 무엇인가?,심장,간,신장,폐,간,과학
하,물은 몇 개의 수소 원자와 결합하는가?,1,2,3,4,2,과학
하,전기의 반대 성질을 가진 입자는 무엇인가?,양성자,중성자,전자,이온,전자,과학
중,DNA는 무엇으로 구성되는가?,단백질,지방,뉴클레오타이드,당,뉴클레오타이드,과학
중,진자의 주기는 어떤 물리량에 의해 결정되는가?,질량,속도,길이와 중력 가속도,시간,길이와 중력 가속도,과학
중,지구의 대기 중에서 가장 많은 가스는 무엇인가?,산소,이산화탄소,질소,헬륨,질소,과학
중,광학 현미경을 통해 볼 수 있는 최소한의 물체 크기는 무엇인가?,10nm,0.1mm,200nm,2μm,200nm,과학
중,물질의 상태 변화 중 기체에서 액체로 변하는 현상을 무엇이라 하는가?,융해,증발,응축,승화,응축,과학
중,중력은 물체의 질량과 어떤 관계를 가지는가?,반비례,비례,무관,지구에서만 작용,비례,과학
중,인간의 뇌는 어떤 신경 전달 물질로 인해 행복을 느끼는가?,도파민,세로토닌,노르에피네프린,아세틸콜린,세로토닌,과학
중,지구의 나이는 약 몇 년인가?,100만 년,10억 년,45억 년,1천만 년,45억 년,과학
중,원소의 주기율표에서 가장 오른쪽에 있는 원소 그룹은 무엇인가?,알칼리 금속,할로젠,비활성 기체,전이 금속,비활성 기체,과학
중,별의 색은 무엇에 의해 결정되는가?,질량,밝기,표면 온도,나이,표면 온도,과학
상,특수 상대성 이론에 따르면 빛의 속도에 가까워지면 시간이 어떻게 변하는가?,빨라진다,느려진다,변하지 않는다,가속된다,느려진다,과학
상,흑체 복사는 무엇에 의해 발생하는가?,전자기파,물체의 온도,화학 반응,자기장,물체의 온도,과학
상,슈뢰딩거 방정식은 무엇을 기술하는가?,중력,양자 상태,빛의 속도,전자기력,양자 상태,과학
상,중성미자는 어떤 상호작용에 관여하는가?,강한 상호작용,약한 상호작용,전자기 상호작용,중력,약한 상호작용,과학
상,광자의 에너지는 무엇에 비례하는가?,파장,진동수,속도,전하,진동수,과학
상,양자 터널링 현상은 어떤 경우에 발생하는가?,에너지가 충분할 때,장벽을 넘지 못할 때,전하가 움직일 때,온도가 높을 때,장벽을 넘지 못할 때,과학
상,빅뱅 우주론에 따르면 우주는 몇 년 전에 시작되었는가?,50억 년,200억 년,138억 년,10억 년,138억 년,과학
상,초신성 폭발 후 남은 별의 잔해는 무엇인가?,백색 왜성,적색 왜성,중성자별 또는 블랙홀,갈색 왜성,중성자별 또는 블랙홀,과학
상,상대성이론에 따르면 중력은 시공간을 어떻게 왜곡시키는가?,줄어들게 한다,빨라지게 한다,휘어지게 한다,회전하게 한다,휘어지게 한다,과학
상,우주 배경 복사는 무엇을 의미하는가?,태양에서 방출된 빛,빅뱅 이후 남은 복사,블랙홀에서 나오는 에너지,별의 형성,빅뱅 이후 남은 복사,과학
하,고려를 건국한 인물은 누구인가?,연개소문,왕건,광개토대왕,세종대왕,왕건,한국사
하,세종대왕이 한글을 창제한 해는?,1392년,1443년,1492년,1517년,1443년,한국사
하,우리나라 최초의 금속활자본은 무엇인가?,조선왕조실록,직지심체요절,훈민정음,삼국사기,직지심체요절,한국사
하,1919년 3.1 운동은 어떤 나라의 지배에 저항하기 위해 일어났는가?,중국,미국,일본,러시아,일본,한국사
하,고구려의 수도는 어디였는가?,평양,국내성,서울,개성,국내성,한국사
하,신라가 삼국을 통일한 연도는?,576년,645년,668년,701년,668년,한국사
하,고려시대의 유명한 무신정변이 일어난 연도는?,1170년,918년,936년,1392년,1170년,한국사
하,임진왜란 당시 이순신 장군이 지휘한 해전은?,한산도 대첩,명량 해전,노량 해전,칠천량 해전,명량 해전,한국사
하,한글을 창제한 왕은 누구인가?,광해군,영조,세종대왕,숙종,세종대왕,한국사
하,삼국사기를 쓴 인물은 누구인가?,최치원,김부식,이익,이황,김부식,한국사
중,조선시대에 실시된 토지제도 중 1444년에 세종대왕이 시행한 제도는?,전시과,공법,영정법,대동법,공법,한국사
중,발해를 건국한 인물은 누구인가?,장보고,대조영,궁예,무왕,대조영,한국사
중,조선 초기의 4대 왕 중 한 사람은 누구인가?,태조,세종,연산군,선조,세종,한국사
중,고려 시대에 세운 팔만대장경은 어떤 사건을 계기로 제작되었는가?,원나라 침공,몽골의 침입,금나라와의 전쟁,왜구의 침입,몽골의 침입,한국사
중,신라의 마지막 왕은 누구인가?,법흥왕,경순왕,진흥왕,태종무열왕,경순왕,한국사
중,대한제국의 황제였던 고종은 언제 즉위하였는가?,1863년,1897년,1905년,1910년,1897년,한국사
중,조선의 정치 기구 중 백성을 다스리던 최고 기관은?,중추원,의정부,삼사,홍문관,의정부,한국사
중,독립운동가 안중근 의사가 저격한 인물은 누구인가?,도요토미 히데요시,이토 히로부미,무사시,도조 히데키,이토 히로부미,한국사
중,조선의 개국과 관련된 사건은?,무신정변,위화도 회군,병자호란,정묘호란,위화도 회군,한국사
중,1876년에 체결된 조선과 일본 사이의 불평등 조약은?,한일합방,강화도 조약,가쓰라-태프트 밀약,시모노세키 조약,강화도 조약,한국사
상,조선 후기의 실학자 중 상공업 진흥을 주장한 학파는?,성리학,북학파,남인,서인,북학파,한국사
상,대한제국 시기 고종 황제가 러시아 공사관으로 피신한 사건은?,아관파천,갑신정변,동학농민운동,을사조약,아관파천,한국사
상,일제강점기 동안 일어난 항일 무장 투쟁 중 1920년에 일어난 전투는?,봉오동 전투,홍경성 전투,안성 전투,상해 의거,봉오동 전투,한국사
상,병자호란 당시 인조가 항복한 장소는?,개성,한양,남한산성,평양성,남한산성,한국사
상,발해의 멸망 원인은 무엇인가?,고구려와의 전쟁,거란의 침입,당나라의 침공,내부 반란,거란의 침입,한국사
상,조선시대의 5대 사고 중 하나로 조선왕조실록을 보관한 곳은?,강화도,의주,춘추관,진도,춘추관,한국사
상,삼국시대 고구려와 수나라 사이에서 일어난 전쟁의 이름은?,살수대첩,한강 전투,백강 전투,황산벌 전투,살수대첩,한국사
상,고구려를 멸망시킨 당나라 장군은 누구인가?,소정방,이세민,설인귀,고선지,이세민,한국사
상,신라의 화랑도는 어떤 계층의 사람들이 중심이 되었는가?,평민,노비,귀족,승려,귀족,한국사
상,김유신이 신라의 장군으로 활약한 전투는 무엇인가?,평양성 전투,황산벌 전투,한강 전투,백강 전투,황산벌 전투,한국사
하,축구 경기에서 한 팀의 필드 플레이어 수는?,10명,11명,12명,13명,11명,축구
하,축구 경기의 경기 시간은 몇 분인가?,60분,120분,45분,90분,90분,축구
하,축구 경기에서 공이 골대 밖으로 나갔을 때 주어지는 것은?,프리킥,골킥 또는 코너킥,드롭볼,페널티킥,골킥 또는 코너킥,축구
하,오프사이드는 언제 발생하는가?,수비수가 패스를 받을 때,공격수가 패스를 받을 때 수비수보다 앞서 있을 때,골키퍼가 공을 잡을 때,공이 상대편 골대를 넘었을 때,공격수가 패스를 받을 때 수비수보다 앞서 있을 때,축구
하,월드컵은 몇 년마다 열리는가?,매년,2년,4년,5년,4년,축구
하,축구에서 페널티킥은 어디서 차는가?,센터 서클,페널티 마크에서,코너 플래그,골 에어리어,페널티 마크에서,축구
하,다음 중 골키퍼가 할 수 없는 행동은?,핸들링으로 필드에서 패스하기,골 에어리어 내에서 공을 잡기,페널티킥을 차기,공을 발로 차기,핸들링으로 필드에서 패스하기,축구
하,축구 경기에서 연장전은 몇 분 동안 진행되는가?,10분,20분,30분,40분,30분,축구
하,축구 경기에서 공이 터치라인을 넘어갔을 때 공을 던지는 방법은?,스로인,프리킥,코너킥,골킥,스로인,축구
하,다음 중 FIFA 월드컵을 가장 많이 우승한 나라는?,독일,이탈리아,브라질,아르헨티나,브라질,축구
중,축구 경기에서 오프사이드를 선언하는 주심의 위치는?,골라인 근처,부심,주심,후방 주심,부심,축구
중,축구 경기에서 팀이 교체할 수 있는 최대 선수 수는?,1명,2명,5명,7명,5명,축구
중,축구 경기에서 파울로 인한 경고를 받을 때 주어지는 카드는?,흰색 카드,옐로 카드,레드 카드,블루 카드,옐로 카드,축구
중,축구에서 코너킥이 주어지는 상황은?,상대편 수비수가 공을 걷어냈을 때,공격수가 공을 골대 밖으로 찼을 때,수비팀이 공을 골라인 밖으로 보냈을 때,페널티킥이 선언되었을 때,수비팀이 공을 골라인 밖으로 보냈을 때,축구
중,월드컵에서 최초로 우승한 국가는?,브라질,독일,우루과이,아르헨티나,우루과이,축구
중,유럽의 축구 클럽 대항전인 UEFA 챔피언스 리그에서 가장 많은 우승을 차지한 클럽은?,바르셀로나,맨체스터 유나이티드,레알 마드리드,바이에른 뮌헨,레알 마드리드,축구
중,FIFA 월드컵에서 한 대회에서 가장 많은 골을 기록한 선수는?,디에고 마라도나,펠레,저스트 폰테인,크리스티아누 호날두,저스트 폰테인,축구
중,축구 경기에서 골라인 바로 앞의 직사각형 공간은 무엇이라고 하는가?,코너킥 지역,페널티 박스,골 에어리어,미드필드,골 에어리어,축구
중,1994년 FIFA 월드컵 결승전에서 승부차기 끝에 승리한 나라는?,브라질,이탈리아,독일,프랑스,브라질,축구
중,축구에서 가장 먼저 세 번이나 월드컵을 우승한 선수는?,디에고 마라도나,크리스티아누 호날두,펠레,리오넬 메시,펠레,축구
상,축구에서 ‘카테나치오’ 전술을 처음으로 도입한 국가는?,스페인,독일,이탈리아,브라질,이탈리아,축구
상,프리미어리그에서 가장 많은 득점을 기록한 선수는 누구인가?,웨인 루니,앨런 시어러,티에리 앙리,앨런 시어러,앨런 시어러,축구
상,FIFA 월드컵에서 단일 대회에서 가장 많은 골을 기록한 선수는?,펠레,호날두,저스트 폰테인,리오넬 메시,저스트 폰테인,축구
상,2018년 FIFA 월드컵 결승전에서 승리한 국가는?,독일,아르헨티나,프랑스,브라질,프랑스,축구
상,축구에서 4-4-2 포메이션에서 수비수와 미드필더는 각각 몇 명인가?,수비수 3명 미드필더 5명,수비수 5명 미드필더 3명,수비수 4명 미드필더 4명,수비수 2명 미드필더 6명,수비수 4명 미드필더 4명,축구
상,다음 중 유럽에서만 개최된 월드컵 대회는?,1950년 브라질 월드컵,1966년 잉글랜드 월드컵,1994년 미국 월드컵,2010년 남아공 월드컵,1966년 잉글랜드 월드컵,축구
상,다음 중 리오넬 메시가 소속된 클럽이 아닌 곳은?,바르셀로나,레알 마드리드,파리 생제르맹,인터 마이애미,레알 마드리드,축구
상,축구에서 페널티킥을 선언할 수 있는 상황은?,공이 골대 밖으로 나갔을 때,수비수가 페널티 박스 안에서 반칙을 범했을 때,공격수가 오프사이드일 때,골키퍼가 공을 잡았을 때,수비수가 페널티 박스 안에서 반칙을 범했을 때,축구
상,1970년 FIFA 월드컵에서 4강에 오른 아프리카 국가는?,나이지리아,카메룬,이집트,모로코,이집트,축구
상,다음 중 골드컵을 가장 많이 우승한 국가는?,멕시코,미국,멕시코,캐나다,멕시코,축구
하,국제 수영 대회에서 가장 빠른 수영 기술로 여겨지는 스타일은?,배영,자유형,평영,접영,자유형,수영
하,수영장에서 주로 사용되는 물의 온도는 몇 도 정도인가?,15~20도,20~25도,25~28도,30~35도,25~28도,수영
하,자유형에서 팔은 어떤 방식으로 물을 저어야 하는가?,원을 그리며,직선으로,몸 아래로,가슴 위로,원을 그리며,수영
하,수영에서 발을 이용해 물을 차는 동작을 무엇이라 하나요?,플립,킥,턴,핀,킥,수영
하,배영에서 선수는 어떤 자세로 수영하나요?,엎드린 자세,옆으로 누운 자세,똑바로 누운 자세,반쯤 앉은 자세,똑바로 누운 자세,수영
하,수영 경기에서 출발할 때 주로 사용하는 것은 무엇인가요?,출발대,줄,타임머신,벽,출발대,수영
하,접영에서 두 팔을 동시에 앞으로 뻗는 이유는 무엇인가?,물의 저항을 줄이기 위해,더 큰 힘을 얻기 위해,호흡을 쉽게 하기 위해,속도를 늦추기 위해,더 큰 힘을 얻기 위해,수영
하,평영에서 선수는 두 발을 어떤 방식으로 차야 하나요?,상하로 차기,좌우로 차기,동시에 벌리며 차기,한 발씩 차기,동시에 벌리며 차기,수영
하,수영장에서 거리 측정에 사용하는 단위는 무엇인가?,마일,킬로미터,미터,야드,미터,수영
하,수영 경기에서 한 바퀴를 돌 때의 기술을 무엇이라 하나요?,플립 턴,롤링 턴,서프 턴,백 턴,플립 턴,수영
중,자유형에서 발을 물 위에서 지나치게 높이 들면 생길 수 있는 문제는?,속도가 빨라짐,균형이 무너짐,물의 저항이 줄어듦,경기가 무효가 됨,균형이 무너짐,수영
중,접영에서 머리와 팔이 수면 위로 나올 때의 타이밍은?,발을 찰 때,팔을 들어올릴 때,몸을 회전할 때,턱을 내릴 때,팔을 들어올릴 때,수영
중,수영 경기에서 ‘플립 턴’은 주로 언제 사용되는가?,코너를 돌 때,직선 구간에서,결승선을 통과할 때,출발할 때,코너를 돌 때,수영
중,배영에서 경기가 시작될 때 출발 자세는?,물 위에서 엎드린 자세,물 밖에서 선 자세,물속에서 똑바로 누운 자세,물속에서 등을 대고 누운 자세,물속에서 등을 대고 누운 자세,수영
중,평영에서 팔과 다리의 움직임은 어떤 방식으로 이루어지나?,각각 다르게,서로 대칭적으로,동시에 반대 방향으로,교대로,서로 대칭적으로,수영
중,국제 수영 경기 연맹(FINA)에서 인정하는 공식 경기 풀의 길이는?,25미터,50미터,75미터,100미터,50미터,수영
중,접영에서 사용하는 주된 호흡 방법은?,물속에서 길게 숨참기,머리를 위로 들어 호흡,팔을 벌릴 때 호흡,다리를 찰 때 호흡,머리를 위로 들어 호흡,수영
중,평영에서 가장 중요한 리듬 요소는 무엇인가?,다리와 팔의 연속성,팔의 빠른 속도,몸의 회전,호흡과 동작의 일치,호흡과 동작의 일치,수영
중,배영에서 턴을 할 때 몸을 어떻게 회전하는가?,앞쪽으로,옆으로,뒤로,위로,앞쪽으로,수영
중,접영에서 두 팔의 회전 속도는 어떤 영향을 미치는가?,속도 감소,속도 증가,물의 저항 증가,체력 소모 감소,속도 증가,수영
상,접영에서 효율적인 턴을 수행하기 위해 필요한 기술은 무엇인가?,빠른 발 차기,팔의 회전,몸의 강한 회전,물속에서의 부드러운 글라이드,물속에서의 부드러운 글라이드,수영
상,자유형에서 수영 속도를 높이기 위해 중요한 요소는?,물을 강하게 찰 때,호흡을 줄일 때,발 차기의 리듬과 균형,팔의 속도,발 차기의 리듬과 균형,수영
상,배영에서 출발 후 물속에서의 글라이딩은 얼마나 길어야 하는가?,5미터 이하,10미터 이하,15미터 이하,20미터 이하,15미터 이하,수영
상,수영 경기에서 '혼영'은 어떤 경기 방식인가?,선수 개인이 네 가지 수영 종목을 순서대로 하는 것,두 가지 수영 종목만 사용하는 것,팀 경기에서 각각 다른 스타일을 사용하는 것,배영과 자유형만 사용하는 것,선수 개인이 네 가지 수영 종목을 순서대로 하는 것,수영
상,평영에서 속도를 높이기 위한 주요 기술은?,짧은 글라이드,긴 글라이드,강한 발차기,더 빠른 팔 동작,긴 글라이드,수영
상,수영에서 '드래프트'는 무엇을 의미하나요?,물의 저항을 줄이기 위한 기술,팀원과 속도를 맞추는 기술,물 위에서 미끄러지듯 가는 기술,수영 후 체력을 회복하는 기술,물의 저항을 줄이기 위한 기술,수영
상,수영에서 200m 접영 경기는 몇 번의 턴을 포함하나요?,2번,4번,6번,8번,4번,수영
상,수영 경기를 할 때 경기 중 수영복이 느슨해질 경우 어떤 규칙이 적용되나요?,경기를 중단할 수 있다,심판에게 요청해 교체할 수 있다,수영복을 재조정할 수 없다,다음 턴에서 교체할 수 있다,수영복을 재조정할 수 없다,수영
상,수영장에서 타임리프란 무엇을 의미하나요?,시간을 기록하는 방법,경기 중 몸을 빠르게 움직이는 기술,턴을 하며 시간을 절약하는 기술,수영 속도를 증가시키는 기술,턴을 하며 시간을 절약하는 기술,수영
상,접영에서 가장 힘들어지는 시점은 언제인가?,첫 50m,100m 지점,150m 지점,마지막 50m,마지막 50m,수영
하,골프에서 한 번에 공을 홀에 넣는 것을 무엇이라 하는가?,버디,홀인원,파,이글,홀인원,골프
하,골프 클럽 중 가장 많이 사용하는 클럽은?,퍼터,드라이버,웨지,아이언,드라이버,골프
하,골프 코스에서 총 18홀을 모두 마치기 위해 정해진 타수는?,54타,72타,90타,100타,72타,골프
하,골프에서 퍼터는 주로 어느 지역에서 사용되는가?,티박스,페어웨이,그린,벙커,그린,골프
하,골프에서 파 3홀은 몇 번의 샷으로 홀인하는 것이 이상적인가?,3번,4번,5번,6번,3번,골프
하,골프에서 공을 치는 첫 번째 위치를 무엇이라고 하는가?,그린,티박스,페어웨이,벙커,티박스,골프
하,골프 경기에서 ‘버디’는 기준 타수보다 몇 타 적게 치는 것인가?,1타 더 많이,1타 적게,2타 더 많이,2타 적게,1타 적게,골프
하,골프에서 '이글'은 기준 타수보다 몇 타 적게 치는 것인가?,1타,2타,2타 적게,3타 적게,2타 적게,골프
하,골프장에서 벙커는 무엇으로 이루어져 있나요?,물,모래,잔디,나무,모래,골프
하,골프공에 들어 있는 작은 구멍들을 무엇이라 하나요?,딤플,포인트,파인,클러스터,딤플,골프
중,골프에서 ‘파’는 무엇을 의미하나요?,기준 타수보다 더 많은 타수,기준 타수와 같은 타수,기준 타수보다 적은 타수,퍼팅으로 들어간 타수,기준 타수와 같은 타수,골프
중,골프에서 드라이버를 사용하는 주된 이유는 무엇인가요?,공을 굴리기 위해,장거리 샷을 위해,공을 퍼팅하기 위해,공을 그린에서 치기 위해,장거리 샷을 위해,골프
중,골프 경기에서 페어웨이는 무엇인가요?,공을 치기 좋은 잔디 구역,공이 빠지는 모래 구역,공이 떨어지는 물 구역,공을 치는 출발 구역,공을 치기 좋은 잔디 구역,골프
중,골프에서 사용되는 ‘아이언’ 클럽은 주로 어떤 샷을 위해 사용되나요?,티샷,중거리 샷,퍼팅,벙커 탈출,중거리 샷,골프
중,골프에서 '오비(OB)'는 무엇을 의미하는가?,코스 외의 지역으로 공이 나간 경우,공이 벙커에 빠진 경우,공이 그린에 올라간 경우,공이 물에 빠진 경우,코스 외의 지역으로 공이 나간 경우,골프
중,골프 경기에서 '핀'이 위치한 곳은 어디인가요?,페어웨이,그린,벙커,러프,그린,골프
중,골프에서 '러프'는 무엇을 뜻하나요?,벙커,그린,잔디가 길고 공을 치기 어려운 구역,물이 있는 지역,잔디가 길고 공을 치기 어려운 구역,골프
중,골프에서 ‘더블 보기’는 기준 타수보다 몇 타 더 치는 것을 의미하나요?,1타,2타,3타,4타,2타,골프
중,골프에서 퍼팅을 할 때 공이 홀 근처에서 멈추는 현상을 무엇이라 하나요?,슬라이스,리프팅,후킹,펀치 샷,리프팅,골프
중,골프에서 퍼터 외에 그린에서 사용하는 클럽은 무엇인가요?,드라이버,웨지,아이언,하이브리드,웨지,골프
상,골프에서 ‘알바트로스’는 기준 타수보다 몇 타 적게 치는 것을 의미하나요?,1타,2타,3타,4타,3타,골프
상,골프에서 사용되는 ‘피치 샷’은 주로 어떤 상황에서 사용되나요?,장거리 샷,짧은 거리의 고각 샷,퍼팅 샷,러프에서 탈출하는 샷,짧은 거리의 고각 샷,골프
상,"골프 경기에서 ""샌드 세이브""란 무엇을 의미하나요?",벙커에서 쳐서 파를 기록하는 것,페어웨이에서 파를 기록하는 것,러프에서 쳐서 파를 기록하는 것,그린에서 퍼팅으로 파를 기록하는 것,벙커에서 쳐서 파를 기록하는 것,골프
상,골프에서 '풋조이'는 무엇을 의미하나요?,클럽의 한 종류,골프화의 한 브랜드,골프공의 종류,골프채의 손잡이,골프화의 한 브랜드,골프
상,골프에서 ‘드로우’는 어떤 샷을 의미하나요?,공이 오른쪽으로 휘는 샷,공이 왼쪽으로 휘는 샷,공이 직선으로 날아가는 샷,공이 매우 높이 뜨는 샷,공이 왼쪽으로 휘는 샷,골프
상,골프에서 '스코어카드'는 무엇을 기록하는 데 사용되나요?,홀의 거리,각 홀에서의 타수,사용한 클럽,공의 종류,각 홀에서의 타수,골프
상,골프에서 ‘스윙 플레인’은 무엇을 설명하나요?,클럽이 공을 칠 때 그리는 궤적,골프공의 무게,골프공이 날아가는 궤적,클럽의 각도,클럽이 공을 칠 때 그리는 궤적,골프
상,골프에서 ‘웨지’는 주로 어떤 상황에서 사용되나요?,장거리 샷,중거리 샷,짧은 거리의 고각 샷,티샷,짧은 거리의 고각 샷,골프
상,골프 클럽의 그립을 교체할 때 사용하는 재료는 무엇인가요?,가죽,고무,나무,금속,고무,골프
상,골프에서 사용하는 ‘피칭 웨지’는 보통 어떤 상황에서 사용되나요?,벙커에서 탈출할 때,그린 근처에서 짧은 거리 샷을 할 때,장거리 샷을 할 때,퍼팅할 때,그린 근처에서 짧은 거리 샷을 할 때,골프
하,농구 경기는 몇 명의 선수가 한 팀을 이루고 진행되나요?,4명,5명,6명,7명,5명,농구
하,농구에서 공을 드리블하지 않고 이동하는 반칙을 무엇이라 하나요?,더블 드리블,트래블링,골텐딩,파울,트래블링,농구
하,농구 경기에서 득점을 위한 가장 기본적인 동작은?,슛,리바운드,드리블,패스,슛,농구
하,농구 경기에서 공을 가진 선수가 상대팀의 수비수를 피해 드리블하는 기술을 무엇이라 하나요?,슛,패스,드리블,리바운드,드리블,농구
하,농구에서 3점 라인 바깥에서 성공시킨 슛은 몇 점을 얻나요?,2점,3점,4점,5점,3점,농구
하,농구 경기에서 경기를 시작할 때 어떻게 공을 주고받나요?,패스,점프 볼,리바운드,슛,점프 볼,농구
하,농구 경기에서 공을 드리블하다가 한 번 멈추고 다시 드리블하는 것을 무엇이라 하나요?,더블 드리블,트래블링,파울,리바운드,더블 드리블,농구
하,농구에서 상대팀이 공격 중일 때 수비팀이 공을 가로채는 동작을 무엇이라 하나요?,리바운드,스틸,드리블,점프 볼,스틸,농구
하,농구 경기에서 공격 시간이 제한된 시간은 몇 초인가요?,12초,18초,22초,24초,24초,농구
