difficulty,question,options[0],options[1],options[2],options[3],answer,subject
하,농구에서 한 선수가 5번의 반칙을 하면 어떻게 되나요?,점수를 잃는다,퇴장당한다,경고를 받는다,자유투를 한다,퇴장당한다,농구
중,농구에서 자유투를 할 수 있는 상황은 언제인가요?,트래블링을 했을 때,상대방이 파울을 했을 때,더블 드리블을 했을 때,리바운드를 했을 때,상대방이 파울을 했을 때,농구
중,농구 경기에서 수비수가 공격자의 슛을 공중에서 막아내는 것을 무엇이라 하나요?,블록 샷,리바운드,스틸,드리블,블록 샷,농구
중,농구에서 공을 던져 상대팀의 골대에 넣는 것을 무엇이라 하나요?,리바운드,슛,패스,드리블,슛,농구
중,농구에서 ‘더블 더블’이란 무엇을 의미하나요?,한 선수가 두 번 파울을 당한 경우,한 선수가 두 가지 기록에서 두 자릿수 성과를 올린 경우,한 선수가 두 번 자유투를 성공한 경우,한 팀이 두 번 공격을 실패한 경우,한 선수가 두 가지 기록에서 두 자릿수 성과를 올린 경우,농구
중,농구에서 3초 규칙은 무엇인가요?,공격자가 공을 3초 이상 소유하는 경우,공격자가 상대편 제한 구역에 3초 이상 머무르는 경우,수비자가 상대편 제한 구역에 3초 이상 머무르는 경우,자유투 시간이 3초 이상 걸리는 경우,공격자가 상대편 제한 구역에 3초 이상 머무르는 경우,농구
중,농구 경기에서 공을 패스하는 방식 중 하나로 공을 바닥에 튕겨서 패스하는 방법은 무엇인가요?,체스트 패스,바운스 패스,롱 패스,점프 패스,바운스 패스,농구
중,농구에서 공격자가 공을 가지고 상대편 골대 근처에서 너무 오래 머무를 경우 발생하는 반칙은 무엇인가요?,3초 규칙 위반,트래블링,더블 드리블,골텐딩,3초 규칙 위반,농구
중,농구에서 한 선수가 모든 포지션을 맡을 수 있는 능력을 무엇이라 하나요?,리바운드 능력,스틸 능력,패스 능력,올 라운드 플레이어,올 라운드 플레이어,농구
중,농구 경기에서 '쿼터'란 무엇을 의미하나요?,경기를 4등분한 각 구간,선수의 기록,득점 방식,경기 시간,경기를 4등분한 각 구간,농구
중,농구에서 '파울 트러블'이란 무엇인가요?,선수가 파울을 하지 못하는 경우,팀이 파울을 너무 많이 한 경우,선수가 파울을 많이 하여 퇴장 위기에 처한 상황,파울로 인해 득점이 취소된 경우,선수가 파울을 많이 하여 퇴장 위기에 처한 상황,농구
상,농구 경기에서 한 선수가 ‘트리플 더블’을 기록하기 위한 조건은 무엇인가요?,세 가지 기록에서 두 자릿수를 기록하는 것,세 번의 슛을 성공시키는 것,득점 리바운드 어시스트 중 세 가지 기록에서 두 자릿수를 기록하는 것,세 번의 파울을 당하는 것,득점 리바운드 어시스트 중 세 가지 기록에서 두 자릿수를 기록하는 것,농구
상,농구에서 ‘골텐딩’이란 무엇을 의미하나요?,수비수가 슛을 실패하게 만드는 것,공격수가 슛을 성공시키는 것,공이 골대로 향하는 도중에 수비수가 공을 건드리는 반칙,수비수가 공을 블록하는 것,공이 골대로 향하는 도중에 수비수가 공을 건드리는 반칙,농구
상,농구에서 ‘플래그런트 파울’이란 무엇인가요?,고의적이지 않은 파울,공을 놓친 경우,고의적이고 심한 파울,수비 실책,고의적이고 심한 파울,농구
상,NBA에서 ‘샷 클락’은 몇 초 동안 공격할 수 있는 시간을 의미하나요?,12초,24초,30초,35초,24초,농구
상,농구에서 “포스트 업” 기술은 어떤 상황에서 사용되나요?,패스할 때,리바운드할 때,골대 가까이에서 수비수 등을 밀어내며 공격할 때,자유투를 할 때,골대 가까이에서 수비수 등을 밀어내며 공격할 때,농구
상,농구 경기에서 ‘패스트 브레이크’는 무엇을 의미하나요?,빠르게 슛을 하는 것,리바운드를 빠르게 하는 것,상대 수비가 정비되기 전에 빠르게 공격하는 것,빠르게 드리블을 하는 것,상대 수비가 정비되기 전에 빠르게 공격하는 것,농구
상,농구에서 '6번째 선수'는 무엇을 의미하나요?,감독,벤치에서 경기 중 교체되어 들어가는 선수,주전 선수,심판,벤치에서 경기 중 교체되어 들어가는 선수,농구
상,농구 경기에서 수비가 상대방의 공격을 막지 못해 남는 공간을 무엇이라고 하나요?,스틸,블록,미스매치,점프볼,미스매치,농구
상,농구에서 선수 교체는 한 경기에 몇 번까지 가능하나요?,2번,5번,제한 없음,7번,제한 없음,농구
상,농구에서 '앤드원(And1)'이란 무엇을 의미하나요?,자유투를 얻지 못한 상황,득점 후 추가 자유투를 얻는 상황,3점 슛을 성공한 상황,팀 파울이 없는 상황,득점 후 추가 자유투를 얻는 상황,농구
상,다음 중 운영체제에서 사용되는 보안 메커니즘이 아닌 것은?,접근 제어,사용자 인증,메모리 압축,암호화,메모리 압축,운영체제
상,다음 중 '가상 메모리'의 주된 기능은 무엇인가요?,하드 드라이브 용량 증가,프로세스 간의 메모리 보호,물리적 메모리의 대체,메모리 페이지 교환,프로세스 간의 메모리 보호,운영체제
상,다음 중 '교착 상태'를 해결하기 위한 방법으로 적절하지 않은 것은?,자원 선점,프로세스 종료,교착 상태 탐지,정적 자원 할당,정적 자원 할당,운영체제
상,운영체제의 '스케줄링' 기법 중 '최단 작업 우선(SJF)'의 특징은 무엇인가요?,대기 시간이 가장 짧은 프로세스를 우선 실행,모든 프로세스를 동일한 시간에 실행,가장 오랫동안 실행된 프로세스를 우선 실행,CPU의 사용률을 극대화,대기 시간이 가장 짧은 프로세스를 우선 실행,운영체제
상,다음 중 운영체제에서 '자원 할당 그래프'의 주된 목적은 무엇인가요?,교착 상태 예방,메모리 관리,프로세스 우선 순위 결정,데이터 전송 최적화,교착 상태 예방,운영체제
상,다음 중 '교착 상태'가 발생하기 위한 필수 조건이 아닌 것은?,상호 배제,점유 및 대기,비선점,자원 선점,자원 선점,운영체제
상,운영체제의 '세마포어'와 '뮤텍스'의 차이점은 무엇인가요?,세마포어는 한 개의 자원만 제어한다,뮤텍스는 여러 스레드 간의 동기화를 지원한다,세마포어는 카운팅 가능하다,뮤텍스는 자원을 비선점 방식으로 제어한다,세마포어는 카운팅 가능하다,운영체제
상,다음 중 가상화 기술의 장점이 아닌 것은?,자원 활용의 극대화,물리적 하드웨어 감소,성능 저하,환경의 유연성 제공,성능 저하,운영체제
상,다음 중 '버추얼 메모리'의 주요 이점은 무엇인가요?,하드웨어 비용 절감,메모리 사용의 효율적 증가,CPU 성능 저하,간단한 메모리 관리,메모리 사용의 효율적 증가,운영체제
상,다음 중 '시스템 콜'의 주된 역할은 무엇인가요?,사용자 프로그램과 커널 간의 인터페이스 제공,메모리 해제,데이터 전송,프로세스 종료,사용자 프로그램과 커널 간의 인터페이스 제공,운영체제
중,운영체제에서 프로세스를 생성하는 시스템 콜의 이름은 무엇인가요?,fork,exec,wait,exit,fork,운영체제
중,다음 중 운영체제의 기본적인 기능에 해당하지 않는 것은?,프로세스 관리,메모리 관리,네트워크 관리,사용자 관리,네트워크 관리,운영체제
중,'페이징' 기법에서 사용되는 기본 단위는 무엇인가요?,페이지,세그먼트,블록,프레임,페이지,운영체제
중,운영체제의 '파일 시스템'에서 '디렉토리'의 주된 목적은 무엇인가요?,데이터 전송,파일 저장소의 조직화,메모리 관리,프로세스 관리,파일 저장소의 조직화,운영체제
중,다음 중 '스레드'의 특징은 무엇인가요?,독립적인 프로세스이다,동일한 프로세스 내에서 실행된다,별도의 메모리 공간을 가진다,생성 속도가 느리다,동일한 프로세스 내에서 실행된다,운영체제
중,다중 프로그래밍의 주된 목적은 무엇인가요?,CPU 사용률 향상,시스템 안정성 향상,메모리 최적화,스레드 동기화,CPU 사용률 향상,운영체제
중,운영체제에서 '인터럽트'의 역할은 무엇인가요?,프로세스 종료,하드웨어와 소프트웨어 간의 통신,메모리 해제,데이터 복사,하드웨어와 소프트웨어 간의 통신,운영체제
중,I/O 버퍼링의 주된 목적은 무엇인가요?,CPU의 대기 시간 감소,메모리 사용량 증가,스레드 간의 동기화,데이터 전송 속도 증가,CPU의 대기 시간 감소,운영체제
중,컨텍스트 스위칭의 과정에서 발생하지 않는 것은?,현재 프로세스의 상태 저장,새로운 프로세스의 상태 불러오기,CPU 성능 저하,메모리 용량 증가,메모리 용량 증가,운영체제
중,신뢰할 수 있는 컴퓨팅의 개념은 무엇을 의미하나요?,데이터 암호화,하드웨어와 소프트웨어의 보안 강화,사용자 인증,자원 할당 최적화,하드웨어와 소프트웨어의 보안 강화,운영체제
하,운영체제의 주된 역할은 무엇인가요?,하드웨어와 소프트웨어 간의 인터페이스 제공,데이터베이스 관리,네트워크 관리,웹 브라우징,하드웨어와 소프트웨어 간의 인터페이스 제공,운영체제
하,운영체제에서 '프로세스'란 무엇인가요?,실행 중인 프로그램,저장된 데이터,사용자의 입력,시스템 콜,실행 중인 프로그램,운영체제
하,운영체제의 '메모리 관리' 기능의 주된 목적은 무엇인가요?,메모리 용량 증가,메모리 할당과 해제,프로세스 생성,데이터 암호화,메모리 할당과 해제,운영체제
하,다음 중 '파일'의 정의는 무엇인가요?,데이터의 집합체,실행 중인 프로그램,하드웨어 장치,사용자 입력,데이터의 집합체,운영체제
하,운영체제에서 '디스크'의 역할은 무엇인가요?,데이터 저장,데이터 전송,프로세스 실행,메모리 관리,데이터 저장,운영체제
하,운영체제의 'UI'란 무엇을 의미하나요?,사용자 인터페이스,유니크 식별자,업데이트 인터벌,유저 인스톨,사용자 인터페이스,운영체제
하,운영체제에서 '시스템 프로세스'란 무엇인가요?,운영체제의 필수 프로세스,사용자 정의 프로세스,종료된 프로세스,비활성 프로세스,운영체제의 필수 프로세스,운영체제
하,운영체제의 '패치'란 무엇을 의미하나요?,소프트웨어의 수정이나 보완,데이터의 압축,하드웨어의 업데이트,프로그램 삭제,소프트웨어의 수정이나 보완,운영체제
하,운영체제에서 '루트 디렉토리'란 무엇인가요?,최상위 디렉토리,임시 파일 저장소,실행 파일 저장소,사용자 프로필,최상위 디렉토리,운영체제
하,다음 중 운영체제의 '부팅' 과정에서 수행되지 않는 것은?,하드웨어 검증,운영체제 로딩,사용자 설정 복원,시스템 초기화,사용자 설정 복원,운영체제
하,스택에서 데이터를 삽입하는 연산은 무엇인가요?,push,pop,insert,delete,push,자료구조
하,큐에서 데이터를 삭제하는 연산은 무엇인가요?,pop,enqueue,dequeue,push,dequeue,자료구조
하,트리의 루트 노드는 무엇인가요?,트리의 최상단 노드,트리의 최하단 노드,자식이 없는 노드,자식이 2개인 노드,트리의 최상단 노드,자료구조
하,연결 리스트에서 각 노드는 무엇을 포함하나요?,데이터만,다음 노드의 참조만,데이터와 다음 노드의 참조,데이터와 이전 노드의 참조,데이터와 다음 노드의 참조,자료구조
하,이진 트리의 최대 자식 노드 수는?,1,2,3,4,2,자료구조
하,삽입과 삭제가 한쪽에서만 이루어지는 자료구조는?,큐,스택,트리,그래프,스택,자료구조
하,다음 중 선형 자료구조가 아닌 것은?,배열,연결 리스트,큐,트리,트리,자료구조
하,큐는 어떤 구조인가요?,FIFO,LIFO,FILO,LILO,FIFO,자료구조
하,다음 중 스택의 응용 예시는?,프린터 작업 처리,웹 브라우저 방문 기록,운영 체제 프로세스 스케줄링,네트워크 패킷 처리,웹 브라우저 방문 기록,자료구조
하,정렬된 배열에서 탐색 시 효율적인 알고리즘은?,순차 탐색,이진 탐색,해시 탐색,깊이 우선 탐색,이진 탐색,자료구조
중,이진 탐색 트리에서 루트 노드보다 작은 값은 어디에 저장되나요?,왼쪽 자식 노드,오른쪽 자식 노드,부모 노드,형제 노드,왼쪽 자식 노드,자료구조
중,연결 리스트에서 중간에 있는 노드를 삭제하려면 삭제할 노드의 무엇을 변경해야 하나요?,다음 노드,이전 노드,포인터,값,포인터,자료구조
중,힙(Heap)의 성질 중 하나는?,트리가 균형을 이룬다,모든 부모 노드는 자식보다 크거나 작다,자식 노드가 두 개 이상일 수 없다,순차적으로 데이터를 삽입한다,모든 부모 노드는 자식보다 크거나 작다,자료구조
중,그래프에서 모든 노드를 방문하는 탐색 알고리즘은?,깊이 우선 탐색,너비 우선 탐색,이진 탐색,순차 탐색,너비 우선 탐색,자료구조
중,이진 힙에서 삽입 연산 후에는 어떤 연산이 필요하나요?,삭제,정렬,힙 구성,노드 교환,힙 구성,자료구조
중,해시 테이블에서 충돌을 해결하는 방법이 아닌 것은?,체이닝,이중 해싱,선형 탐사,병합 정렬,병합 정렬,자료구조
중,다음 중 그래프의 표현 방법으로 옳지 않은 것은?,인접 행렬,인접 리스트,인접 트리,인접 집합,인접 트리,자료구조
중,연결 리스트의 이중 연결 리스트에서 각 노드는 몇 개의 포인터를 가집니까?,1,2,3,4,2,자료구조
중,이진 트리에서 리프 노드는 무엇인가요?,자식이 없는 노드,부모가 없는 노드,형제가 없는 노드,자식이 하나만 있는 노드,자식이 없는 노드,자료구조
중,이진 탐색 트리에서 중위 순회를 하면 얻을 수 있는 결과는?,정렬되지 않은 값들,오름차순 정렬,내림차순 정렬,최댓값,오름차순 정렬,자료구조
상,우선순위 큐를 효율적으로 구현할 수 있는 자료구조는?,배열,스택,힙,그래프,힙,자료구조
상,AVL 트리에서 삽입 후 불균형이 발생하면 어떻게 해결하나요?,트리 병합,회전,노드 삭제,재배열,회전,자료구조
상,이진 탐색 트리의 성능이 퇴화되어 연결 리스트와 동일하게 될 수 있는 상황은?,삽입 순서가 오름차순일 때,삽입 순서가 무작위일 때,모든 노드가 같은 값을 가질 때,루트 노드가 비어 있을 때,삽입 순서가 오름차순일 때,자료구조
상,다익스트라 알고리즘은 그래프에서 무엇을 찾는 데 사용되나요?,최소 신장 트리,최단 경로,최대 유량,사이클,최단 경로,자료구조
상,트리에서 높이를 줄이기 위해 사용하는 기법은?,힙 정렬,트리 회전,노드 분할,재귀,트리 회전,자료구조
상,퀵 정렬에서 분할 기준으로 사용하는 값은 무엇인가요?,중앙 값,피벗,첫 번째 값,마지막 값,피벗,자료구조
상,트리의 깊이 우선 탐색(DFS)에서 사용하는 자료구조는?,큐,스택,배열,리스트,스택,자료구조
상,B-트리에서 노드 분할이 일어날 때 중간 값은 어떻게 처리되나요?,삭제됨,부모 노드로 이동됨,자식 노드로 이동됨,아무것도 하지 않음,부모 노드로 이동됨,자료구조
상,다음 중 그래프에서 사이클을 감지하는 데 사용할 수 있는 알고리즘은?,DFS,BFS,퀵 정렬,합병 정렬,DFS,자료구조
상,다음 중 해시 함수의 충돌을 줄이기 위한 방법은?,큰 해시 테이블 사용,작은 해시 테이블 사용,중복된 키 허용,선형 탐사 사용,큰 해시 테이블 사용,자료구조
하,버블 정렬의 시간 복잡도는?,O(n),O(n^2),O(log n),O(n log n),O(n^2),자료구조
하,이진 탐색에서 배열이 만족해야 할 조건은?,정렬된 상태여야 한다.,역순으로 정렬되어야 한다.,무작위 순서여야 한다.,값이 모두 달라야 한다.,정렬된 상태여야 한다.,자료구조
하,퀵 정렬의 평균 시간 복잡도는?,O(n^2),O(n log n),O(n),O(log n),O(n log n),자료구조
하,선형 탐색의 최악 시간 복잡도는?,O(n^2),O(log n),O(n),O(1),O(n),자료구조
하,병합 정렬의 주요 작업 과정은?,분할과 병합,선택과 정렬,삽입과 삭제,병합과 정렬,분할과 병합,자료구조
하,다음 중 그리디 알고리즘의 특징은?,매 단계에서 최적의 해를 선택한다.,모든 경우를 고려한다.,재귀적 구조를 따른다.,그래프 기반이다.,매 단계에서 최적의 해를 선택한다.,자료구조
하,다이나믹 프로그래밍의 핵심 개념은?,큰 문제를 작은 문제로 나누어 푼다.,재귀적으로 모든 경우를 고려한다.,반복적으로 해를 구한다.,모든 경로를 탐색한다.,큰 문제를 작은 문제로 나누어 푼다.,자료구조
하,피보나치 수열을 구하는 가장 효율적인 방법은?,재귀 호출,반복문,다이나믹 프로그래밍,그리디 알고리즘,다이나믹 프로그래밍,자료구조
하,다음 중 퀵 정렬의 최악의 경우 시간 복잡도는?,O(n^2),O(n log n),O(n),O(log n),O(n^2),자료구조
하,깊이 우선 탐색(DFS)에서 사용되는 자료구조는?,큐,스택,트리,배열,스택,자료구조
중,다익스트라 알고리즘의 시간 복잡도는 (힙을 사용한 경우)?,O(V^2),O(E + V log V),O(E log V),O(V log E),O(E + V log V),자료구조
중,동적 프로그래밍에서 하위 문제의 해를 저장하는 방식은?,메모이제이션,반복 탐색,재귀 호출,그리디,메모이제이션,자료구조
중,탐욕 알고리즘이 항상 최적의 해를 보장하는 문제 유형은?,배낭 문제,최단 경로 문제,최소 신장 트리 문제,작업 스케줄링 문제,최소 신장 트리 문제,자료구조
중,병합 정렬의 최악 시간 복잡도는?,O(n log n),O(n^2),O(log n),O(n),O(n log n),자료구조
중,피보나치 수열을 동적 프로그래밍으로 풀 때 사용하는 기법은?,분할 정복,메모이제이션,그리디,깊이 우선 탐색,메모이제이션,자료구조
중,최소 신장 트리(MST)를 찾는 알고리즘은?,크루스칼 알고리즘,다익스트라 알고리즘,플로이드-워셜 알고리즘,벨만-포드 알고리즘,크루스칼 알고리즘,자료구조
중,플로이드-워셜 알고리즘의 시간 복잡도는?,O(V^2),O(V^3),O(E log V),O(E + V log V),O(V^3),자료구조
중,다이나믹 프로그래밍과 분할 정복의 차이점은?,다이나믹 프로그래밍은 하위 문제의 중복을 허용하지 않는다.,분할 정복은 문제를 나누고 독립적으로 푼다.,다이나믹 프로그래밍은 그리디 방식을 따른다.,분할 정복은 하위 문제를 저장한다.,분할 정복은 문제를 나누고 독립적으로 푼다.,자료구조
중,퀵 정렬의 분할 단계에서 사용하는 전략은?,피벗 선택,병합,재귀 호출,순차 탐색,피벗 선택,자료구조
중,최단 경로 문제에서 벨만-포드 알고리즘의 특징은?,음수 가중치를 허용한다.,사이클을 탐지하지 못한다.,그래프가 연결되어 있어야 한다.,최소 신장 트리를 구한다.,음수 가중치를 허용한다.,자료구조
상,동적 프로그래밍에서 최적 부분 구조의 의미는?,큰 문제를 작은 문제로 나누어 최적의 해를 찾는다.,하위 문제의 해가 전체 문제의 해로 이어진다.,문제를 분할하고 다시 결합한다.,각각의 경우를 고려한다.,하위 문제의 해가 전체 문제의 해로 이어진다.,자료구조
상,최소 신장 트리를 구하는 프림(Prim) 알고리즘의 주요 특징은?,가중치가 작은 간선부터 선택한다.,하나의 정점에서 시작해 인접한 정점으로 확장한다.,사이클을 허용하지 않는다.,모든 간선을 탐색한다.,하나의 정점에서 시작해 인접한 정점으로 확장한다.,자료구조
상,트리의 높이를 구하는 알고리즘의 시간 복잡도는?,O(n),O(log n),O(n^2),O(n log n),O(n),자료구조
상,다익스트라 알고리즘은 어느 상황에서 올바른 결과를 보장하지 않나요?,양수 가중치일 때,음수 가중치일 때,모든 가중치가 동일할 때,사이클이 없을 때,음수 가중치일 때,자료구조
상,KMP 문자열 검색 알고리즘의 시간 복잡도는?,O(m + n),O(m * n),O(m log n),O(n^2),O(m + n),자료구조
상,동적 프로그래밍에서 중복되는 하위 문제를 피하기 위한 기법은?,메모이제이션,재귀 호출,분할 정복,그리디 알고리즘,메모이제이션,자료구조
상,탐욕 알고리즘이 항상 최적의 해를 보장하지 않는 경우는?,배낭 문제,최소 신장 트리,최단 경로,작업 스케줄링,배낭 문제,자료구조
상,최대 유량 문제를 해결하기 위해 사용하는 알고리즘은?,에드몬드-카프 알고리즘,크루스칼 알고리즘,다익스트라 알고리즘,벨만-포드 알고리즘,에드몬드-카프 알고리즘,자료구조
상,다익스트라 알고리즘에서 사용하는 자료구조는?,힙,배열,스택,큐,힙,자료구조
상,다음 중 해시 함수의 충돌을 줄이기 위한 방법은?,큰 해시 테이블 사용,작은 해시 테이블 사용,중복된 키 허용,선형 탐사 사용,큰 해시 테이블 사용,자료구조
하,"데이터 통신에서 ""LAN""이란 무엇을 의미하나요?",Long Area Network,Large Area Network,Local Area Network,Line Area Network,Local Area Network,데이터통신
하,OSI 7계층 중 데이터 링크 계층의 역할은 무엇인가요?,물리적 연결 제공,패킷 전달,에러 제어 및 흐름 제어,사용자 데이터 처리,에러 제어 및 흐름 제어,데이터통신
하,다음 중 유선 네트워크에서 데이터를 전송하는 물리적인 매체는?,트위스트 페어 케이블,광섬유,동축 케이블,모든 답변,모든 답변,데이터통신
하,TCP/IP 모델에서 데이터 링크 계층에 해당하는 것은?,네트워크 계층,전송 계층,인터넷 계층,링크 계층,링크 계층,데이터통신
하,다음 중 네트워크 장치로 사용되지 않는 것은?,라우터,스위치,모뎀,모니터,모니터,데이터통신
하,이더넷에서 사용하는 케이블 유형은 무엇인가요?,트위스트 페어 케이블,광섬유 케이블,동축 케이블,무선 연결,트위스트 페어 케이블,데이터통신
하,패킷 교환 방식에서 패킷이 네트워크를 통해 전송되는 과정은?,순차적 전송,분할 전송,경로 설정 후 전송,동시에 전송,분할 전송,데이터통신
하,IPv4 주소는 몇 비트로 구성되나요?,16비트,32비트,64비트,128비트,32비트,데이터통신
하,다음 중 IP 주소 할당을 자동으로 처리하는 프로토콜은?,HTTP,DHCP,FTP,DNS,DHCP,데이터통신
하,무선 네트워크에서 사용하는 보안 프로토콜은 무엇인가요?,FTP,WEP,HTTP,SMTP,WEP,데이터통신
중,데이터 통신에서 흐름 제어의 목적은 무엇인가요?,전송 속도 최적화,데이터 손실 방지,데이터 충돌 방지,데이터의 오류 검출,데이터 손실 방지,데이터통신
중,TCP 프로토콜의 주요 특징은 무엇인가요?,연결 지향적,비연결 지향적,패킷 손실 가능,비신뢰성,연결 지향적,데이터통신
중,DNS의 역할은 무엇인가요?,IP 주소를 MAC 주소로 변환,IP 주소를 도메인 이름으로 변환,도메인 이름을 IP 주소로 변환,도메인 이름을 MAC 주소로 변환,도메인 이름을 IP 주소로 변환,데이터통신
중,이더넷에서 CSMA/CD 방식은 무엇을 의미하나요?,충돌 감지,신호 증폭,흐름 제어,패킷 손실 방지,충돌 감지,데이터통신
중,라우터의 주된 역할은 무엇인가요?,패킷을 목적지 네트워크로 라우팅,충돌 감지,흐름 제어,데이터 패킷을 스위칭,패킷을 목적지 네트워크로 라우팅,데이터통신
중,TCP와 UDP의 차이점은 무엇인가요?,TCP는 연결형 UDP는 비연결형이다.,TCP는 비연결형 UDP는 연결형이다.,TCP는 데이터의 신뢰성이 낮다.,UDP는 오류 제어를 제공한다.,TCP는 연결형 UDP는 비연결형이다.,데이터통신
중,다음 중 전송 계층의 프로토콜은?,TCP,IP,HTTP,FTP,TCP,데이터통신
중,회선 교환 방식과 패킷 교환 방식의 주요 차이점은?,회선 교환은 전용 경로를 사용하고 패킷 교환은 데이터를 분할하여 전송한다.,회선 교환은 데이터를 분할하고 패킷 교환은 전용 경로를 사용한다.,둘 다 동일한 방식이다.,회선 교환은 무선 네트워크에서만 사용된다.,회선 교환은 전용 경로를 사용하고 패킷 교환은 데이터를 분할하여 전송한다.,데이터통신
중,패킷이 네트워크 상에서 목적지로 이동하는 데 사용하는 정보는?,IP 주소,MAC 주소,포트 번호,도메인 이름,IP 주소,데이터통신
중,네트워크에서 데이터 전송 시 오류 검출을 위해 사용하는 기술은?,패리티 비트,패킷 분할,포트 스캐닝,라우팅,패리티 비트,데이터통신
상,IPv6 주소는 몇 비트로 구성되나요?,32비트,64비트,128비트,256비트,128비트,데이터통신
상,TCP 연결 설정 과정에서 사용하는 3-way 핸드셰이크 절차는?,SYN → SYN-ACK → ACK,ACK → SYN → SYN-ACK,SYN → ACK → SYN-ACK,ACK → SYN-ACK → SYN,SYN → SYN-ACK → ACK,데이터통신
상,VLAN의 목적은 무엇인가요?,동일 네트워크 내에서 논리적으로 분리된 네트워크를 만들기 위해,외부 네트워크와의 연결을 차단하기 위해,패킷 손실을 방지하기 위해,무선 네트워크 범위를 확장하기 위해,동일 네트워크 내에서 논리적으로 분리된 네트워크를 만들기 위해,데이터통신
상,NAT(Network Address Translation)의 주요 목적은?,사설 IP 주소를 공인 IP 주소로 변환,데이터를 암호화,네트워크 트래픽을 분석,동일 네트워크 내에서 IP 충돌을 방지,사설 IP 주소를 공인 IP 주소로 변환,데이터통신
상,라우팅 프로토콜 중 OSPF의 특징은?,링크 상태 라우팅 프로토콜이다.,거리 벡터 라우팅 프로토콜이다.,비연결형 프로토콜이다.,신뢰성이 낮다.,링크 상태 라우팅 프로토콜이다.,데이터통신
상,MAC 주소는 몇 비트로 구성되나요?,32비트,48비트,64비트,128비트,48비트,데이터통신
상,"DNS에서 이름 확인 절차 중 ""권한 있는 응답""은 무엇을 의미하나요?",DNS 서버가 최종적으로 도메인 이름을 확인해 주는 응답,DNS 서버가 중간에 확인해 주는 응답,DNS 서버가 오류를 반환하는 응답,클라이언트가 요청을 취소하는 응답,DNS 서버가 최종적으로 도메인 이름을 확인해 주는 응답,데이터통신
상,TCP에서 혼잡 제어의 주요 기법은?,슬라이딩 윈도우,혼잡 회피,흐름 제어,패킷 분할,혼잡 회피,데이터통신
상,다음 중 라우터에서 사용하는 라우팅 테이블의 항목에 포함되지 않는 것은?,목적지 주소,전송 계층 프로토콜,넥스트 홉(Next Hop),네트워크 마스크,전송 계층 프로토콜,데이터통신
상,네트워크 보안에서 사용되는 방화벽의 주요 기능은?,데이터 패킷의 흐름 제어,외부에서의 비정상적인 접근 차단,네트워크 성능 향상,라우팅 정보 제공,외부에서의 비정상적인 접근 차단,데이터통신
하,암호화의 주요 목적은 무엇인가요?,데이터를 압축하기 위함,데이터를 복사하기 위함,데이터를 보호하기 위함,데이터를 삭제하기 위함,데이터를 보호하기 위함,암호이론및보안
하,다음 중 대칭 키 암호화 방식은?,RSA,AES,DSA,ECC,AES,암호이론및보안
하,비대칭 키 암호화에서 사용하는 키는 무엇인가요?,공개 키와 개인 키,대칭 키,동일한 키,해시 값,공개 키와 개인 키,암호이론및보안
